,0
0,214.009998
1,214.379993
2,210.969995
3,210.58
4,211.980005
5,210.110003
6,207.720001
7,210.650002
8,209.43
9,205.93
10,215.039995
11,211.73
12,208.069996
13,197.75
14,203.070002
15,205.940001
16,207.880005
17,199.289995
18,192.060003
19,194.729998
20,195.859997
21,199.229994
22,192.050003
23,195.460001
24,194.119997
25,196.190004
26,195.120007
27,198.669994
28,200.379993
29,203.399996
30,202.550003
31,202.929998
32,201.669996
33,200.419994
34,197.059998
35,200.66
36,202.000004
37,204.619997
38,208.990004
39,208.85
40,209.329998
41,210.710003
42,218.950005
43,219.079994
44,223.020004
45,224.839993
46,225.500008
47,226.600006
48,223.839996
49,224.449997
50,224.120003
51,224.650002
52,222.25
53,224.750004
54,228.359993
55,229.370003
56,226.649994
57,230.899998
58,232.389992
59,235.849991
60,235.000011
61,235.969994
62,238.489998
63,239.540009
64,240.600006
65,239.950005
66,241.789993
67,242.290005
68,242.430008
69,245.690002
70,248.92001
71,247.400002
72,247.070007
73,244.590004
74,259.220005
75,266.46999700000003
76,270.82999
77,269.5
78,262.039989
79,261.600006
80,268.640007
81,261.090008
82,266.34999500000004
83,258.679993
84,255.989998
85,246.249989
86,235.860004
87,253.990005
88,256.51999700000005
89,262.090004
90,258.360012
91,253.819988
92,254.219997
93,252.360008
94,248.339996
95,237.75999500000003
96,242.319992
97,246.759987
98,245.220005
99,244.109993
100,253.349991
101,256.880005
102,260.830002
103,263.949993
104,263.11998700000004
105,255.960011
106,250.940002
107,249.330006
108,243.200012
109,250.510006
110,253.50999500000003
111,254.27999900000003
112,259.690002
113,267.249989
114,271.86998700000004
115,274.070011
116,270.170002
117,273.850006
118,270.969994
119,268.999989
120,266.699989
121,268.299999
122,256.170002
123,251.530003
124,248.48
125,246.939991
126,248.62999
127,258.670006
128,258.089993
129,259.61998700000004
130,257.290001
131,251.799995
132,252.730003
133,251.450001
134,249.900005
135,245.580013
136,251.890011
137,254.239998
138,259.02
139,259.939995
140,259.280006
141,264.080009
142,260.959991
143,258.10999300000003
144,257.25
145,261.849998
146,261.93
147,262.980011
148,261.700008
149,260.090012
150,261.749996
151,259.409996
152,250.18999900000003
153,251.790009
154,249.099987
155,247.640007
156,251.970013
157,253.070011
158,249.880005
159,249.639999
160,245.799992
161,239.930004
162,242.889992
163,240.27999900000003
164,241.620003
165,242.499996
166,243.10001
167,250.330002
168,252.169991
169,258.770008
170,257.810013
171,262.92001
172,263.07
173,263.410007
174,267.039997
175,268.059994
176,270.21999
177,276.569988
178,275.36998700000004
179,283.230007
180,283.769993
181,287.750004
182,288.91999100000004
183,292.319988
184,291.159988
185,286.859997
186,287.369995
187,283.749992
188,282.52000400000003
189,278.639996
190,288.939991
191,289.19001000000003
192,289.21999700000003
193,294.069988
194,295.360004
195,298.539997
196,300.140007
197,302.30999
198,314.739994
199,317.999989
200,309.489994
